Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount
0.9999982113631006,0.09912291662804995,0.19962121212121212,0.0725,0.18500042346420675,200,"[-4, 83]",200,"[-4, 82]",200
0.9999981932794757,0.10198277670001595,0.20202020202020202,0.0725,0.18934638705567103,200,"[-4, 84]",200,"[-4, 83]",200
0.9999981775125107,0.11120990119722343,0.20441919191919192,0.0725,0.1937442672189645,200,"[-4, 85]",200,"[-4, 84]",200
0.9999981642221915,0.11896708023157085,0.20681818181818182,0.0725,0.1981940639539047,200,"[-4, 86]",200,"[-4, 85]",200
0.9999981535731549,0.11996661629787181,0.20921717171717172,0.0725,0.2026957772602612,200,"[-4, 87]",200,"[-4, 86]",200
0.9999981457348286,0.11618116930143184,0.21161616161616162,0.0725,0.20724940713787235,200,"[-4, 88]",200,"[-4, 87]",200
0.9999981408814139,0.11548347540355601,0.21401515151515152,0.0725,0.21185495358645315,200,"[-4, 89]",200,"[-4, 88]",200
0.9999981391916253,0.11648429135571801,0.21641414141414142,0.0725,0.21651241660577722,200,"[-4, 90]",200,"[-4, 89]",200
0.9999981408482579,0.1255303943646171,0.21881313131313132,0.0725,0.22122179619546897,200,"[-4, 91]",200,"[-4, 90]",200
0.999998146037869,0.13027892125916468,0.22121212121212122,0.0725,0.2259830923548713,200,"[-4, 92]",200,"[-4, 91]",200
0.9999981549510094,0.1305723228734816,0.2236111111111111,0.0725,0.2307963050831095,200,"[-4, 93]",200,"[-4, 92]",200
0.9999981677833192,0.13736357007851535,0.226010101010101,0.0725,0.235661434378934,200,"[-4, 94]",200,"[-4, 93]",200
0.9999981847374513,0.14432918804417574,0.2284090909090909,0.0725,0.2405784802409162,200,"[-4, 95]",200,"[-4, 94]",200
0.999998206025194,0.14526273234022127,0.2308080808080808,0.0725,0.245547442667585,200,"[-4, 96]",200,"[-4, 95]",200
0.9999982318686688,0.14129360161824348,0.2332070707070707,0.0725,0.2505683216575737,200,"[-4, 97]",200,"[-4, 96]",200
0.9999982624993433,0.13687174487541748,0.2356060606060606,0.0725,0.25564111720949273,200,"[-4, 98]",200,"[-4, 97]",200
0.9999982981540041,0.13637607155247108,0.2380050505050505,0.0725,0.26076582932174974,200,"[-4, 99]",200,"[-4, 98]",200
0.9999983390679924,0.14654980226698516,0.2404040404040404,0.0725,0.2659424579921134,200,"[-4, 100]",200,"[-4, 99]",200
0.9999983854670453,0.15666109545376278,0.2428030303030303,0.0725,0.27117100321717486,200,"[-4, 101]",200,"[-4, 100]",200
0.9999984375611596,0.1614022110091758,0.2452020202020202,0.0725,0.2764514649919424,200,"[-4, 102]",200,"[-4, 101]",200
0.9999984955422372,0.1643509708206952,0.2476010101010101,0.0725,0.2817838433097193,200,"[-4, 103]",200,"[-4, 102]",200
0.9999985595908081,0.16483752537576898,0.25,0.0725,0.2871681381625828,200,"[-4, 104]",200,"[-4, 103]",200
0.9999957407556795,-6.144803745180501e-06,0.0125,0.08641414141414142,0.00823110282733827,200,"[-4, 5]",200,"[-3, 4]",200
0.9999951880919902,-6.942132525456888e-06,0.0148989898989899,0.08641414141414142,0.00854454215558669,200,"[-4, 6]",200,"[-3, 5]",200
0.9999945981884355,-7.793187648275189e-06,0.0172979797979798,0.08641414141414142,0.008912869476800207,200,"[-4, 7]",200,"[-3, 6]",200
0.9999939710492962,-8.697937684566488e-06,0.0196969696969697,0.08641414141414142,0.009336084790978843,200,"[-4, 8]",200,"[-3, 7]",200
0.9999933066852779,-9.655448542817985e-06,0.022095959595959596,0.08641414141414142,0.009814188098122656,200,"[-4, 9]",200,"[-3, 8]",200
0.999992605161936,-1.0653834839516178e-05,0.024494949494949493,0.08641414141414142,0.01034717939823156,200,"[-4, 10]",200,"[-3, 9]",200
0.9999918665961586,-1.1613509612893853e-05,0.026893939393939394,0.08641414141414142,0.010935058691305769,200,"[-4, 11]",200,"[-3, 10]",200
0.999991091153121,-1.222579339836391e-05,0.02929292929292929,0.08641414141414142,0.011577825977345031,200,"[-4, 12]",200,"[-3, 11]",200
0.9999902790434079,-1.1642607258448814e-05,0.03169191919191919,0.08641414141414142,0.012275481256349276,200,"[-4, 13]",200,"[-3, 12]",200
