Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount
0.9999648971466603,0.591923076194153,0.8575757575757575,0.05,3.013483039132207,200,"[-3, 45]",200,"[-5, 45]",200
0.999964335882607,0.6022225369408281,0.8772727272727272,0.05,3.150176759052681,200,"[-3, 46]",200,"[-5, 46]",200
0.999963759107863,0.6098647501566754,0.896969696969697,0.05,3.289481406457833,200,"[-3, 47]",200,"[-5, 47]",200
0.9999631547258498,0.622269863450333,0.9166666666666666,0.05,3.431290281628699,200,"[-3, 48]",200,"[-5, 48]",200
0.9999625596752395,0.6322823259839232,0.9363636363636363,0.05,3.5754748676488983,200,"[-3, 49]",200,"[-5, 49]",200
0.9999619116442149,0.6419761703263158,0.956060606060606,0.05,3.7219313656829875,200,"[-3, 50]",200,"[-5, 50]",200
0.9999612847955062,0.6527292954828415,0.9757575757575757,0.05,3.870614021192675,200,"[-3, 51]",200,"[-5, 51]",200
0.9999606131194227,0.6612210403600347,0.9954545454545454,0.05,4.021511288613501,200,"[-3, 52]",200,"[-5, 52]",200
0.9999599454037127,0.6699975080135256,1.0151515151515151,0.05,4.1746108945794145,200,"[-3, 53]",200,"[-5, 53]",200
0.9999592582555716,0.6812669968791976,1.0348484848484847,0.05,4.329888756045226,200,"[-3, 54]",200,"[-5, 54]",200
0.9999585640779006,0.6899293116496604,1.0545454545454545,0.05,4.487299772681943,200,"[-3, 55]",200,"[-5, 55]",200
0.9999578584041845,0.6990716208894416,1.0742424242424242,0.05,4.646762811201061,200,"[-3, 56]",200,"[-5, 56]",200
0.999957125298268,0.7099658220595473,1.093939393939394,0.05,4.808142989139237,200,"[-3, 57]",200,"[-5, 57]",200
0.9999796179728658,0.7182914143965269,1.1136363636363635,0.05,4.971251451846209,200,"[-3, 58]",200,"[-6, 58]",200
0.9999799894896472,0.7261529449920265,1.1333333333333333,0.05,5.135902905964716,200,"[-3, 59]",200,"[-6, 59]",200
0.9999804114916396,0.7390933845756991,1.153030303030303,0.05,5.301999972559837,200,"[-3, 60]",200,"[-6, 60]",200
0.9999808451142198,0.7475951318584213,1.1727272727272726,0.05,5.469538492276365,200,"[-3, 61]",200,"[-6, 61]",200
0.9999812654908805,0.749777371707201,1.1924242424242424,0.05,5.6385344508832045,200,"[-3, 62]",200,"[-6, 62]",200
0.9999817466792991,0.7577555917864012,1.2121212121212122,0.05,5.808966070706631,200,"[-3, 63]",200,"[-6, 63]",200
0.9999822366877726,0.7685218398637563,1.2318181818181817,0.05,5.980794359812373,200,"[-3, 64]",200,"[-6, 64]",200
0.9999827225517646,0.7764196351302775,1.2515151515151515,0.05,6.153999223512168,200,"[-3, 65]",200,"[-6, 65]",200
0.9999832625097588,0.7854379737917565,1.2712121212121212,0.05,6.328578652954966,200,"[-3, 66]",200,"[-6, 66]",200
0.9999838148547111,0.7923249307407755,1.2909090909090908,0.05,6.504527582591173,200,"[-3, 67]",200,"[-6, 67]",200
0.9999843961285014,0.8000852643417192,1.3106060606060606,0.05,6.681791978255495,200,"[-3, 68]",200,"[-6, 68]",200
0.9999849868418559,0.8065199956370787,1.3303030303030303,0.05,6.860217080660929,200,"[-3, 69]",200,"[-6, 69]",200
0.9999856287452765,0.8170825150009837,1.3499999999999999,0.05,7.039542062356778,200,"[-3, 70]",200,"[-6, 70]",200
0.9999862805358504,0.8224840186357516,1.3696969696969696,0.05,7.219461203282641,200,"[-3, 71]",200,"[-6, 71]",200
0.999986941609905,0.831228308863906,1.3893939393939394,0.05,7.399758713670163,200,"[-3, 72]",200,"[-6, 72]",200
0.9999876580185567,0.8431612198198053,1.409090909090909,0.05,7.580415866614151,200,"[-3, 73]",200,"[-6, 73]",200
0.9999884166710621,0.8428502613634299,1.4287878787878787,0.05,7.7615497227695895,200,"[-3, 74]",200,"[-6, 74]",200
0.9999892051120708,0.8538238337982872,1.4484848484848485,0.05,7.943274871359145,200,"[-3, 75]",200,"[-6, 75]",200
0.9999900146332377,0.8574587466262151,1.468181818181818,0.05,8.125610052968666,200,"[-3, 76]",200,"[-6, 76]",200
0.9999908577172414,0.8659568502548647,1.4878787878787878,0.05,8.308447992723766,200,"[-3, 77]",200,"[-6, 77]",200
0.9999917430708802,0.8783918481105737,1.5075757575757576,0.05,8.49163593082181,200,"[-3, 78]",200,"[-6, 78]",200
0.9999926358920078,0.881281719723539,1.5272727272727271,0.05,8.675103032412625,200,"[-3, 79]",200,"[-6, 79]",200
0.9999935540011295,0.8888620461108239,1.5469696969696969,0.05,8.858891634780885,200,"[-3, 80]",200,"[-6, 80]",200
0.9999944588383068,0.894474418667273,1.5666666666666667,0.05,9.043109284435246,200,"[-3, 81]",200,"[-6, 81]",200
0.9999954536225465,0.9038050022961964,1.5863636363636362,0.05,9.227893607279883,200,"[-3, 82]",200,"[-6, 82]",200
0.9999965078447535,0.9089725754740459,1.606060606060606,0.05,9.41337791146732,200,"[-3, 83]",200,"[-6, 83]",200
0.9999976448713486,0.9156268765537453,1.6257575757575757,0.05,9.599600483901186,200,"[-3, 84]",200,"[-6, 84]",200
0.9999988748406201,0.9201303437536891,1.6454545454545453,0.05,9.786410252161865,200,"[-3, 85]",200,"[-6, 85]",200
1.0000001272109946,0.9254338784829892,1.665151515151515,0.05,9.973466492535708,200,"[-3, 86]",200,"[-6, 86]",200
1.0000015045274508,0.9408064709090077,1.6848484848484848,0.05,10.160336998053165,200,"[-3, 87]",200,"[-6, 87]",200
1.000002914251847,0.9373939532276534,1.7045454545454544,0.05,10.346587622787743,200,"[-3, 88]",200,"[-6, 88]",200
1.0000043485552537,0.9559409586264971,1.7242424242424241,0.05,10.531886830331336,200,"[-3, 89]",200,"[-6, 89]",200
1.0000057459820249,0.9605676688686753,1.743939393939394,0.05,10.716171484139066,200,"[-3, 90]",200,"[-6, 90]",200
1.0000071162606556,0.9558019145804302,1.7636363636363634,0.05,10.899710607676864,200,"[-3, 91]",200,"[-6, 91]",200
1.0000083895529874,0.9694777759474277,1.7833333333333332,0.05,11.082940388514093,200,"[-3, 92]",200,"[-6, 92]",200
1.0000096933972145,0.9725826516742458,1.803030303030303,0.05,11.266185590836946,200,"[-3, 93]",200,"[-6, 93]",200
1.00001101349439,0.9694699231182776,1.8227272727272725,0.05,11.449549859956266,200,"[-3, 94]",200,"[-6, 94]",200
1.0000123927245352,0.9747482763696691,1.8424242424242423,0.05,11.632962597743198,200,"[-3, 95]",200,"[-6, 95]",200
1.000013881706993,0.9953036717127998,1.862121212121212,0.05,11.81619157362539,200,"[-3, 96]",200,"[-6, 96]",200
1.0000155432805575,1.0001569071107077,1.8818181818181816,0.05,11.998871398465091,200,"[-3, 97]",200,"[-6, 97]",200
1.0000174531956798,1.007695450320427,1.9015151515151514,0.05,12.180621397269368,200,"[-3, 98]",200,"[-6, 98]",200
