Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount
0.9999758706175679,0.5614702263116306,0.8075757575757576,0.05,2.6785874443301365,200,"[-3, 64]",200,"[-5, 64]",200
0.9999761017232295,0.570910624177887,0.8202020202020203,0.05,2.7615050101170997,200,"[-3, 65]",200,"[-5, 65]",200
0.9999763498977465,0.5763442222975481,0.8328282828282828,0.05,2.8455409690574855,200,"[-3, 66]",200,"[-5, 66]",200
0.9999766161151609,0.5828535697791828,0.8454545454545455,0.05,2.9306925400360817,200,"[-3, 67]",200,"[-5, 67]",200
0.9999769013576169,0.5917974716651739,0.8580808080808081,0.05,3.0169547495986255,200,"[-3, 68]",200,"[-5, 68]",200
0.999977206588533,0.5956711533453032,0.8707070707070708,0.05,3.1043179012277076,200,"[-3, 69]",200,"[-5, 69]",200
0.9999775327072428,0.6052493369334673,0.8833333333333334,0.05,3.1927658754757924,200,"[-3, 70]",200,"[-5, 70]",200
0.999977880673648,0.6121861888768407,0.895959595959596,0.05,3.2822756059979987,200,"[-3, 71]",200,"[-5, 71]",200
0.9999782516979187,0.6248768123071902,0.9085858585858586,0.05,3.372817511166464,200,"[-3, 72]",200,"[-5, 72]",200
0.9999786473022311,0.6236439605625823,0.9212121212121213,0.05,3.4643573690560885,200,"[-3, 73]",200,"[-5, 73]",200
0.9999790692280186,0.6296969205756238,0.9338383838383839,0.05,3.556861063457575,200,"[-3, 74]",200,"[-5, 74]",200
0.9999795190566537,0.6364148412994384,0.9464646464646465,0.05,3.650301174394746,200,"[-3, 75]",200,"[-5, 75]",200
0.9999799976564678,0.6393916716012868,0.9590909090909091,0.05,3.7446611744651133,200,"[-3, 76]",200,"[-5, 76]",200
0.9999805048656721,0.6535616104884416,0.9717171717171718,0.05,3.8399342178408467,200,"[-3, 77]",200,"[-5, 77]",200
0.9999810396538369,0.6599932790022514,0.9843434343434344,0.05,3.936117987387545,200,"[-3, 78]",200,"[-5, 78]",200
0.9999816009799324,0.6618029706135481,0.996969696969697,0.05,4.033210212068433,200,"[-3, 79]",200,"[-5, 79]",200
0.9999821890245818,0.6735488778777919,1.0095959595959596,0.05,4.131207080773544,200,"[-3, 80]",200,"[-5, 80]",200
0.9999828065177929,0.6740810325518769,1.0222222222222221,0.05,4.230102814619623,200,"[-3, 81]",200,"[-5, 81]",200
0.9999834593364302,0.684740306859679,1.034848484848485,0.05,4.329888756045178,200,"[-3, 82]",200,"[-5, 82]",200
0.9999841559892195,0.6860973598581716,1.0474747474747474,0.05,4.430551953962004,200,"[-3, 83]",200,"[-5, 83]",200
0.999984905799892,0.690127362548755,1.0601010101010102,0.05,4.532073461635785,200,"[-3, 84]",200,"[-5, 84]",200
0.9999857161778495,0.6988624822975671,1.0727272727272728,0.05,4.6344262600718285,200,"[-3, 85]",200,"[-5, 85]",200
0.9999865897396126,0.7026022704068416,1.0853535353535353,0.05,4.737573265820777,200,"[-3, 86]",200,"[-5, 86]",200
0.9999875222332631,0.7111675333019387,1.097979797979798,0.05,4.841466976707685,200,"[-3, 87]",200,"[-5, 87]",200
1.000010211751785,0.7142688767044121,1.1106060606060606,0.05,4.946053462916712,200,"[-3, 88]",200,"[-6, 88]",200
1.0000118325377991,0.7154617277134812,1.1232323232323234,0.05,5.051282219024348,200,"[-3, 89]",200,"[-6, 89]",200
1.000013504458585,0.7305037369120396,1.135858585858586,0.05,5.157117402807119,200,"[-3, 90]",200,"[-6, 90]",200
1.0000152269048896,0.7333150994298403,1.1484848484848484,0.05,5.263542757412639,200,"[-3, 91]",200,"[-6, 91]",200
1.0000170004235813,0.7398251535332299,1.1611111111111112,0.05,5.370557936812083,200,"[-3, 92]",200,"[-6, 92]",200
1.0000188272087067,0.7447772732320213,1.1737373737373737,0.05,5.478169495780827,200,"[-3, 93]",200,"[-6, 93]",200
1.0000207113320694,0.751848770843456,1.1863636363636363,0.05,5.586380966837377,200,"[-3, 94]",200,"[-6, 94]",200
1.0000226585593956,0.7557072524025119,1.198989898989899,0.05,5.695187546129697,200,"[-3, 95]",200,"[-6, 95]",200
1.000024675896328,0.7626388687373366,1.2116161616161616,0.05,5.804578442150516,200,"[-3, 96]",200,"[-6, 96]",200
1.0000267707614938,0.7612988630518024,1.2242424242424244,0.05,5.9145430879771235,200,"[-3, 97]",200,"[-6, 97]",200
1.0000289500395962,0.7702710858686117,1.236868686868687,0.05,6.025074915282228,200,"[-3, 98]",200,"[-6, 98]",200
1.0000312191181915,0.7809011858858512,1.2494949494949494,0.05,6.1361714023264184,200,"[-3, 99]",200,"[-6, 99]",200
1.0000335810921064,0.7736149587179055,1.2621212121212122,0.05,6.247832590357752,200,"[-3, 100]",200,"[-6, 100]",200
1.0000360362153797,0.7954817761120456,1.2747474747474747,0.05,6.360058950983442,200,"[-3, 101]",200,"[-6, 101]",200
1.0000385818395976,0.79267488723367,1.2873737373737375,0.05,6.472847468639749,200,"[-3, 102]",200,"[-6, 102]",200
1.0000412126790945,0.799004046877617,1.3,0.05,6.586185119167251,200,"[-3, 103]",200,"[-6, 103]",200
0.9999435566545058,0.00016073204269749869,0.05,0.06262626262626263,0.01476661647600234,200,"[-3, 4]",200,"[-3, 4]",200
0.9999998117556217,0.0013781364776880964,0.06262626262626263,0.06262626262626263,0.020932300003685164,200,"[-4, 5]",200,"[-4, 5]",200
0.9999997240032666,0.004093035674944138,0.07525252525252525,0.06262626262626263,0.028480423784211287,200,"[-4, 6]",200,"[-4, 6]",200
0.999999602941789,0.00864153761835266,0.08787878787878789,0.06262626262626263,0.03741098781758197,200,"[-4, 7]",200,"[-4, 7]",200
0.9999994431622816,0.014977835287414558,0.10050505050505051,0.06262626262626263,0.04772399210379816,200,"[-4, 8]",200,"[-4, 8]",200
0.9999992396490927,0.02282973071628321,0.11313131313131314,0.06262626262626263,0.05941943664285426,200,"[-4, 9]",200,"[-4, 9]",200
0.9999989876689076,0.03197482192644753,0.12575757575757576,0.06262626262626263,0.07249732143475177,200,"[-4, 10]",200,"[-4, 10]",200
0.9999986828334716,0.04204548399521431,0.1383838383838384,0.06262626262626263,0.0869576464794981,200,"[-4, 11]",200,"[-4, 11]",200
0.9999983211274613,0.05302982625569159,0.151010101010101,0.06262626262626263,0.10280041177709441,200,"[-4, 12]",200,"[-4, 12]",200
