Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount,time1,time2,nmeanbins
0.9998957278924704,0.8902971623944422,0.12203389830508475,0.8847457627118644,2.7323891807007845,150,"[-12, 13]",200,"[-10, 17]",200,1.238805055618286,4.97536301612854,"(2.636, 2.74]"
0.9998840039169226,0.9047817523462869,0.11694915254237287,0.909322033898305,2.8265266351257985,150,"[-12, 13]",200,"[-10, 17]",200,1.2085304260253906,4.906753063201903,"(2.74, 2.843]"
0.9998800009813812,0.9240166381546892,0.11186440677966103,0.9338983050847456,2.9181894402158144,150,"[-12, 13]",200,"[-10, 17]",200,1.1997582912445068,4.933383703231812,"(2.843, 2.946]"
0.9998238287645492,0.9386304083444159,0.13220338983050847,0.8847457627118644,3.025834812884228,150,"[-12, 13]",200,"[-10, 18]",200,1.1854956150054932,4.912583112716675,"(2.946, 3.05]"
0.9999851075333296,0.9635788175791068,0.1139240506329114,0.9487179487179488,3.1392348972892448,150,"[-12, 13]",200,"[-16, 17]",200,8.106775522232057,4.897005796432495,"(3.05, 3.153]"
0.9997881702003512,0.9771686004609276,0.12203389830508475,0.9338983050847456,3.245822403628892,150,"[-12, 13]",200,"[-10, 18]",200,1.2444474697113037,4.956385850906372,"(3.153, 3.256]"
0.9999844651376296,0.9957191938448452,0.10169491525423728,1.0076271186440675,3.3586940089017188,150,"[-13, 14]",200,"[-16, 17]",200,8.26680064201355,4.9313604831695566,"(3.256, 3.36]"
0.9999807920732721,1.012036556940624,0.11186440677966103,0.983050847457627,3.454840234478345,150,"[-12, 13]",200,"[-16, 18]",200,1.1794614791870115,4.9403235912323,"(3.36, 3.463]"
0.9999793517936132,1.0246161360419357,0.10677966101694916,1.0076271186440675,3.553453114037445,150,"[-13, 14]",200,"[-16, 18]",200,2.3954026699066158,4.938247203826903,"(3.463, 3.566]"
0.9999824288589274,1.0400661977962329,0.10169491525423728,1.0322033898305083,3.6472198896818386,150,"[-13, 14]",200,"[-16, 18]",200,7.0460455417633066,4.930988311767578,"(3.566, 3.669]"
0.9999768805114109,1.0556742436721809,0.11186440677966103,1.0076271186440675,3.7560286755999797,150,"[-13, 14]",200,"[-16, 18]",200,1.1854629516601562,4.947159767150879,"(3.669, 3.773]"
0.9999886435435352,1.0700901856384686,0.10677966101694916,1.0322033898305083,3.860010933590509,150,"[-13, 14]",200,"[-17, 18]",200,2.3643581867218018,4.94590950012207,"(3.773, 3.876]"
0.9999764742759524,1.085172243112679,0.10169491525423728,1.056779661016949,3.9584993009149176,150,"[-13, 14]",200,"[-16, 18]",200,2.3581833839416504,4.942747354507446,"(3.876, 3.979]"
0.9999851334119408,1.1030603122812213,0.11186440677966103,1.0322033898305083,4.0809531744035965,150,"[-13, 14]",200,"[-17, 18]",200,1.1831750869750977,4.935108661651611,"(3.979, 4.083]"
0.9999829359730674,1.1130128664693886,0.12203389830508475,1.0076271186440675,4.182868009315944,150,"[-13, 14]",200,"[-17, 18]",200,1.2517683506011963,4.9659907817840585,"(4.083, 4.186]"
0.9999791364861348,1.1252716121876605,0.08135593220338982,1.1550847457627118,4.2808403170088845,150,"[-13, 14]",200,"[-16, 17]",200,1.1860487461090088,4.92436671257019,"(4.186, 4.289]"
0.9999801451176494,1.1456019349101845,0.0966101694915254,1.1059322033898304,4.390098529100986,150,"[-13, 14]",200,"[-17, 18]",200,2.360227346420288,4.925747871398926,"(4.289, 4.393]"
0.9999874647448548,1.1536339331194707,0.09152542372881356,1.1305084745762712,4.478210729443976,150,"[-13, 14]",200,"[-17, 18]",200,2.431249618530273,4.939026832580566,"(4.393, 4.496]"
0.9999725335099596,1.1637466566873402,0.08644067796610169,1.1550847457627118,4.557506649912484,150,"[-13, 14]",200,"[-16, 18]",200,2.368536949157715,4.909899711608887,"(4.496, 4.599]"
0.9999835971689762,1.1769253057257612,0.10169491525423728,1.1059322033898304,4.654704525459321,150,"[-13, 14]",200,"[-17, 18]",200,1.1787757873535156,4.9304771423339835,"(4.599, 4.703]"
0.9999787095918744,1.1916177564621555,0.0966101694915254,1.1305084745762712,4.755120069158884,150,"[-14, 15]",200,"[-17, 18]",200,2.3516721725463867,4.917742729187012,"(4.703, 4.806]"
0.9999836655721304,1.1998629983670868,0.09152542372881356,1.1550847457627118,4.846499175670656,150,"[-13, 14]",200,"[-17, 18]",200,2.4449009895324707,4.932278871536255,"(4.806, 4.909]"
0.9999707849169918,1.2166602792828836,0.08135593220338982,1.2042372881355932,4.998873940843144,150,"[-14, 15]",200,"[-16, 18]",200,2.3512001037597656,4.924840211868286,"(4.909, 5.013]"
0.9999831021536842,1.2242125488356888,0.10169491525423728,1.1305084745762712,5.042192836084793,150,"[-14, 15]",200,"[-17, 18]",200,1.170525312423706,4.953855276107788,"(5.013, 5.116]"
0.9999753327925214,1.243874233706477,0.11186440677966103,1.1059322033898304,5.211108544328755,150,"[-14, 15]",200,"[-17, 18]",200,2.433816432952881,4.962976455688477,"(5.116, 5.219]"
0.9999811261801574,1.2456797799311599,0.09152542372881356,1.1796610169491526,5.241610106490294,150,"[-14, 15]",200,"[-17, 18]",200,2.4284656047821045,5.047060966491699,"(5.219, 5.323]"
0.9999627123177051,1.2634202957374834,0.08135593220338982,1.2288135593220335,5.39739333961977,150,"[-14, 15]",200,"[-16, 18]",200,2.3812897205352783,4.903165817260742,"(5.323, 5.426]"
0.9999757353370238,1.2723597583517807,0.0711864406779661,1.277966101694915,5.501960753450882,150,"[-14, 15]",200,"[-17, 17]",200,2.370806932449341,4.912031173706055,"(5.426, 5.529]"
